WELL,DEPTH,GR_norm,PEF,PHIA,PHIE,PHIN_norm,RHOB_norm,RoMS,RT,SwIrr,SwMS,VCL,VSH,Core_Kmax,anomaly_scores,anomaly
PozoN3,10630.4,43.9427,1.9616,0.1927,0.1492,0.2294,2.3928,15.022,24.3497,0.2334,0.7383,0.3286,0.2958,3.11,0.1050707552220736,1
PozoN3,10630.9,37.9401,2.0379,0.1987,0.1659,0.2255,2.3665,15.3998,23.9321,0.1923,0.7689,0.2554,0.216,1.066,0.0858057676377002,1
PozoN3,10631.4,44.572,2.2321,0.1881,0.1481,0.2237,2.3982,15.4672,26.6347,0.2365,0.7103,0.3362,0.2863,20.449,0.09297375830158133,1
PozoN3,10632.4,49.4824,1.9598,0.204,0.1605,0.2374,2.3684,14.4638,35.3593,0.2048,0.5732,0.3961,0.2687,10.073,0.10292583776165432,1
PozoN3,10639.4,29.13,1.9174,0.2423,0.22,0.2533,2.2683,12.9025,324.7022,0.1021,0.1577,0.1479,0.0885,525.021,0.12258402587395628,1
PozoN3,10640.4,20.8471,1.958,0.2473,0.242,0.2452,2.2384,12.9584,310.2741,0.0769,0.1929,0.0469,0.0,2331.4561,0.11443872725217774,1
PozoN3,10641.4,19.4792,1.9755,0.2451,0.2316,0.2504,2.2542,12.9218,495.9235,0.0883,0.1357,0.0302,0.0424,1080.968,0.12112423519441584,1
PozoN3,10642.9,18.0619,1.8833,0.2441,0.2393,0.2429,2.2453,13.2258,1101.6313,0.0798,0.1011,0.0129,0.0,3116.1489,0.11038252286061012,1
PozoN3,10645.9,23.5149,1.9468,0.2518,0.2458,0.2501,2.2316,12.6009,1457.6625,0.0731,0.0853,0.0795,0.0,2497.646,0.09785522229798443,1
PozoN3,10646.9,19.3059,1.8966,0.2639,0.2558,0.2529,2.1964,11.7171,1540.8905,0.0634,0.0798,0.0281,0.0,2701.2419,0.04588836490356002,1
PozoN3,10647.9,19.104,1.8139,0.2523,0.2462,0.2437,2.2194,12.5635,1158.3402,0.0727,0.0959,0.0257,0.0,4754.6699,0.07557039360147477,1
PozoN3,10649.9,17.6528,1.9404,0.2112,0.212,0.2089,2.2977,16.492,284.6755,0.1125,0.2286,0.008,0.0,4036.302,0.10536276813709905,1
PozoN3,10651.9,82.9982,2.2028,0.1644,0.1154,0.2168,2.4653,15.4241,70.4609,0.3528,0.3528,0.8049,0.422,547.256,0.0233269201662738,1
PozoN3,10655.9,61.8265,2.1934,0.1356,0.0727,0.2199,2.5653,13.2739,47.9632,0.6627,0.6627,0.5467,0.6784,0.081,0.02525732389065999,1
PozoN3,10657.9,50.6542,2.1118,0.1294,0.1064,0.1728,2.5082,19.3993,42.1261,0.3975,0.5744,0.4104,0.3495,1.095,0.03357941580253704,1
PozoN3,10658.9,62.9327,1.9984,0.1436,0.1264,0.1742,2.4636,20.4118,55.7197,0.3071,0.5139,0.5602,0.2465,1.234,0.01894726446253392,1
PozoN3,10659.9,25.0919,1.8615,0.1948,0.1845,0.2054,2.3461,17.3599,110.138,0.1553,0.3517,0.0987,0.0854,677.241,0.0714839610831483,1
PozoN3,10660.9,28.7046,2.0099,0.1923,0.1883,0.1986,2.343,18.1664,71.3897,0.1487,0.4754,0.1427,0.0504,292.982,0.08092838794014728,1
PozoN3,10663.4,28.2528,2.0801,0.1983,0.1932,0.2044,2.3329,17.436,186.4405,0.1405,0.272,0.1372,0.0492,1689.457,0.10211459822480251,1
PozoN3,10664.9,26.9887,1.9622,0.2168,0.2167,0.2119,2.2841,15.8507,206.1103,0.1064,0.2647,0.1218,0.0,553.714,0.12649152073554443,1
PozoN3,10665.9,24.0023,1.9129,0.2375,0.2339,0.2293,2.2445,13.7925,491.9811,0.0857,0.1569,0.0854,0.0,3674.158,0.1212934753509835,1
PozoN3,10666.9,24.4219,1.9694,0.2392,0.2353,0.2382,2.2537,13.6441,392.2372,0.0841,0.1755,0.0905,0.0,5073.501,0.1188909930417108,1
PozoN3,10667.9,23.4703,1.9667,0.2358,0.2202,0.2436,2.2737,13.553,756.3922,0.1018,0.1018,0.0789,0.0626,2776.186,0.12617935933184588,1
PozoN3,10668.9,22.0211,1.9091,0.2408,0.2366,0.2366,2.2457,13.5035,438.2353,0.0827,0.1648,0.0612,0.0,1477.483,0.1241322919286863,1
PozoN3,10670.9,32.991,2.0163,0.2123,0.1823,0.2339,2.3352,14.6731,321.4552,0.1593,0.1593,0.195,0.1737,1061.0179,0.11855328423723904,1
PozoN3,10671.9,27.0153,2.0602,0.2368,0.2333,0.2338,2.2545,13.8606,430.0202,0.0864,0.1687,0.1221,0.0,2679.3669,0.12470565246160187,1
PozoN3,10672.9,36.3803,1.9841,0.2241,0.2138,0.23,2.29,14.6885,93.7853,0.1101,0.3675,0.2363,0.0477,4103.5928,0.11057972877288014,1
PozoN3,10674.4,54.7605,2.253,0.169,0.1225,0.2171,2.4505,15.5913,45.3934,0.3222,0.473,0.4605,0.3872,16.745,0.08239810393681746,1
PozoN3,10675.9,26.5142,1.9821,0.2267,0.2249,0.2026,2.2363,14.8164,1064.407,0.0961,0.1092,0.116,0.0,5018.439,0.07341230167887491,1
PozoN3,10677.9,19.3285,1.912,0.2477,0.2424,0.2421,2.232,12.9268,2905.864,0.0766,0.0766,0.0284,0.0,4364.6069,0.04987201754768095,1
PozoN3,10678.9,18.2883,2.0215,0.2338,0.2281,0.2355,2.267,14.0384,2370.6616,0.0922,0.0922,0.0157,0.0137,5477.9731,0.07982282451738065,1
PozoN3,10679.9,13.0183,1.9107,0.2373,0.2337,0.2294,2.2455,13.8128,3578.8521,0.0859,0.0859,0.0,0.0,7341.4292,0.02817514912298197,1
PozoN3,10680.9,14.6421,1.9282,0.2439,0.2391,0.238,2.238,13.2452,4235.0483,0.08,0.08,0.0,0.0,7125.7681,0.02406581964186255,1
PozoN3,10681.4,18.1437,2.0331,0.2428,0.2382,0.2381,2.2418,13.3377,4667.6587,0.0809,0.0809,0.0139,0.0,8158.9731,0.004705873560829521,1
PozoN3,10682.4,18.9665,2.0388,0.2354,0.1989,0.2565,2.2964,12.9605,590.4765,0.1315,0.1315,0.024,0.1699,8316.1611,0.060528209360932006,1
PozoN3,10684.4,46.0461,1.9319,0.1918,0.131,0.2423,2.4169,13.9629,44.6274,0.29,0.4478,0.3542,0.4067,1096.6,0.07468984869670653,1
PozoN3,10684.9,74.9762,2.1103,0.1398,0.1009,0.1952,2.5106,16.6267,31.968,0.4289,0.6194,0.707,0.4457,1.755,0.04443070510085401,1
PozoN3,10686.9,41.019,2.0487,0.2013,0.1197,0.2638,2.4209,12.6622,335.8452,0.3341,0.3341,0.2929,0.5028,121.404,0.021879670010963415,1
PozoN3,10688.9,15.3054,1.935,0.2448,0.2115,0.2621,2.2747,12.4778,1363.2928,0.1132,0.1132,0.0,0.1396,1306.135,0.07072839107878942,1
PozoN3,10689.9,17.3171,1.9133,0.2264,0.2246,0.2256,2.2753,14.8466,1191.1852,0.0964,0.1031,0.0039,0.0,1624.696,0.10018566557319863,1
PozoN3,10690.9,22.4157,1.9274,0.2298,0.2247,0.2315,2.2738,14.4101,473.2713,0.0963,0.158,0.066,0.0142,1487.0341,0.1292020941028471,1
PozoN3,10691.9,32.767,2.0036,0.2184,0.218,0.2168,2.287,15.6775,207.2509,0.1047,0.2625,0.1923,0.0,1932.627,0.11683375108598087,1
PozoN3,10693.9,43.1227,2.0913,0.1549,0.1371,0.182,2.4392,19.7346,32.5158,0.2694,0.7321,0.3186,0.2182,0.146,0.03702837292954264,1
PozoN3,10696.4,72.1748,2.022,0.1527,0.1051,0.2098,2.4922,15.605,100.6453,0.4049,0.4049,0.6729,0.4595,0.031,0.05946168435317595,1
PozoN3,10698.9,71.2071,2.0181,0.2234,0.209,0.2321,2.2959,14.5759,391.295,0.1166,0.1544,0.6611,0.0705,9621.9395,0.03222035188396577,1
PozoN3,10699.9,74.7309,2.0179,0.2254,0.2184,0.2289,2.284,14.7187,377.8987,0.1041,0.1745,0.704,0.0286,1.474,0.05065025799916967,1
PozoN3,10701.4,58.839,1.961,0.2213,0.1849,0.2453,2.3244,13.8176,190.0288,0.1546,0.1929,0.5102,0.1931,2587.657,0.08627465154104041,1
