WELL,DEPTH,GR,PEF,PHIA,PHIE,PHIN,RHOB,RT,SwIrr,SwMS,VSH,Core_Kmax
PozoN3,10630.9,34.5078,2.0379,0.1987,0.1659,0.2079,2.3814,23.9321,0.1923,0.7689,0.216,1.066
PozoN3,10631.4,39.9767,2.2321,0.1881,0.1481,0.2061,2.4057,26.6347,0.2365,0.7103,0.2863,20.449
PozoN3,10632.4,44.026,1.9598,0.204,0.1605,0.2198,2.3829,35.3593,0.2048,0.5732,0.2687,10.073
PozoN3,10635.4,90.3833,2.3068,0.1264,0.0364,0.2406,2.6051,61.345,1,1,1,0.005
PozoN3,10639.4,27.2427,1.9174,0.2423,0.22,0.2357,2.3063,324.7022,0.1021,0.1577,0.0885,525.021
PozoN3,10640.4,20.4123,1.958,0.2473,0.242,0.2276,2.2834,310.2741,0.0769,0.1929,0,2331.4561
PozoN3,10641.4,19.2843,1.9755,0.2451,0.2316,0.2328,2.2955,495.9235,0.0883,0.1357,0.0424,1080.968
PozoN3,10642.9,18.1155,1.8833,0.2441,0.2393,0.2253,2.2887,1101.6313,0.0798,0.1011,0,3116.1489
PozoN3,10645.9,22.6123,1.9468,0.2518,0.2458,0.2325,2.2782,1457.6625,0.0731,0.0853,0,2497.646
PozoN3,10646.9,19.1414,1.8966,0.2639,0.2558,0.2353,2.2513,1540.8905,0.0634,0.0798,0,2701.2419
PozoN3,10647.9,18.9749,1.8139,0.2523,0.2462,0.2261,2.2689,1158.3402,0.0727,0.0959,0,4754.6699
PozoN3,10649.9,17.7782,1.9404,0.2112,0.212,0.1913,2.3288,284.6755,0.1125,0.2286,0,4036.302
PozoN3,10650.9,21.8543,2.168,0.1613,0.1499,0.1627,2.4188,77.6285,0.2314,0.4423,0.1534,158.734
PozoN3,10651.9,71.6643,2.2028,0.1644,0.1154,0.1992,2.457,70.4609,0.3528,0.3528,0.422,547.256
PozoN3,10653.4,97.5587,2.2311,0.1424,0.0423,0.2429,2.5677,70.6111,1,1,0.9508,0.002
PozoN3,10654.4,98.4119,2.1803,0.1432,0.0364,0.2504,2.5751,76.8345,1,1,1,0.008
PozoN3,10655.9,54.2054,2.1934,0.1356,0.0727,0.2023,2.5335,47.9632,0.6627,0.6627,0.6784,0.081
PozoN3,10657.9,44.9923,2.1118,0.1294,0.1064,0.1552,2.4898,42.1261,0.3975,0.5744,0.3495,1.095
PozoN3,10658.9,55.1176,1.9984,0.1436,0.1264,0.1566,2.4557,55.7197,0.3071,0.5139,0.2465,1.234
PozoN3,10659.9,23.9127,1.8615,0.1948,0.1845,0.1878,2.3658,110.138,0.1553,0.3517,0.0854,677.241
PozoN3,10660.9,26.8919,2.0099,0.1923,0.1883,0.181,2.3634,71.3897,0.1487,0.4754,0.0504,292.982
PozoN3,10663.4,26.5193,2.0801,0.1983,0.1932,0.1868,2.3557,186.4405,0.1405,0.272,0.0492,1689.457
PozoN3,10664.9,25.4769,1.9622,0.2168,0.2167,0.1943,2.3184,206.1103,0.1064,0.2647,0,553.714
PozoN3,10665.9,23.0142,1.9129,0.2375,0.2339,0.2117,2.2881,491.9811,0.0857,0.1569,0,3674.158
PozoN3,10666.9,23.3602,1.9694,0.2392,0.2353,0.2206,2.2951,392.2372,0.0841,0.1755,0,5073.501
PozoN3,10667.9,22.5755,1.9667,0.2358,0.2202,0.226,2.3104,756.3922,0.1018,0.1018,0.0626,2776.186
PozoN3,10668.9,21.3804,1.9091,0.2408,0.2366,0.219,2.289,438.2353,0.0827,0.1648,0,1477.483
PozoN3,10670.9,30.4266,2.0163,0.2123,0.1823,0.2163,2.3575,321.4552,0.1593,0.1593,0.1737,1061.0179
PozoN3,10671.9,25.4988,2.0602,0.2368,0.2333,0.2162,2.2957,430.0202,0.0864,0.1687,0,2679.3669
PozoN3,10672.9,33.2215,1.9841,0.2241,0.2138,0.2124,2.3229,93.7853,0.1101,0.3675,0.0477,4103.5928
PozoN3,10674.4,48.3785,2.253,0.169,0.1225,0.1995,2.4457,45.3934,0.3222,0.473,0.3872,16.745
PozoN3,10675.9,25.0856,1.9821,0.2267,0.2249,0.185,2.2818,1064.407,0.0961,0.1092,0,5018.439
PozoN3,10677.9,19.16,1.912,0.2477,0.2424,0.2245,2.2785,2905.864,0.0766,0.0766,0,4364.6069
PozoN3,10678.9,18.3022,2.0215,0.2338,0.2281,0.2179,2.3053,2370.6616,0.0922,0.0922,0.0137,5477.9731
PozoN3,10679.9,13.9564,1.9107,0.2373,0.2337,0.2118,2.2888,3578.8521,0.0859,0.0859,0,7341.4292
PozoN3,10680.9,15.2954,1.9282,0.2439,0.2391,0.2204,2.2831,4235.0483,0.08,0.08,0,7125.7681
PozoN3,10681.4,18.183,2.0331,0.2428,0.2382,0.2205,2.286,4667.6587,0.0809,0.0809,0,8158.9731
PozoN3,10682.4,18.8615,2.0388,0.2354,0.1989,0.2389,2.3278,590.4765,0.1315,0.1315,0.1699,8316.1611
PozoN3,10684.4,41.1923,1.9319,0.1918,0.131,0.2247,2.42,44.6274,0.29,0.4478,0.4067,1096.6
PozoN3,10684.9,65.0491,2.1103,0.1398,0.1009,0.1776,2.4917,31.968,0.4289,0.6194,0.4457,1.755
PozoN3,10686.9,37.0468,2.0487,0.2013,0.1197,0.2462,2.423,335.8452,0.3341,0.3341,0.5028,121.404
PozoN3,10688.9,15.8424,1.935,0.2448,0.2115,0.2445,2.3112,1363.2928,0.1132,0.1132,0.1396,1306.135
PozoN3,10689.9,17.5013,1.9133,0.2264,0.2246,0.208,2.3116,1191.1852,0.0964,0.1031,0,1624.696
PozoN3,10690.9,21.7058,1.9274,0.2298,0.2247,0.2139,2.3105,473.2713,0.0963,0.158,0.0142,1487.0341
PozoN3,10691.9,30.2419,2.0036,0.2184,0.218,0.1992,2.3206,207.2509,0.1047,0.2625,0,1932.627
PozoN3,10693.9,38.7816,2.0913,0.1549,0.1371,0.1644,2.437,32.5158,0.2694,0.7321,0.2182,0.146
PozoN3,10696.4,62.739,2.022,0.1527,0.1051,0.1922,2.4776,100.6453,0.4049,0.4049,0.4595,0.031
PozoN3,10698.9,61.941,2.0181,0.2234,0.209,0.2145,2.3274,391.295,0.1166,0.1544,0.0705,9621.9395
PozoN3,10699.9,64.8468,2.0179,0.2254,0.2184,0.2113,2.3183,377.8987,0.1041,0.1745,0.0286,1.474
PozoN3,10701.4,51.7418,1.961,0.2213,0.1849,0.2277,2.3492,190.0288,0.1546,0.1929,0.1931,2587.657
PozoN3,10702.4,80.1843,2.0665,0.2041,0.1959,0.194,2.3501,41.7528,0.1362,0.1362,0.0603,4514.4028
